"Statistic","Year","County","School Programme","UNIT","VALUE"
"Pupils in National Schools","1997","Limerick City","All first level school programmes","Number","7621"
"Pupils in National Schools","1997","Limerick City","All mainstream national school programmes","Number","7249"
"Pupils in National Schools","1997","Limerick City","Pupils with special needs in mainstream national schools","Number","104"
"Pupils in National Schools","1997","Limerick City","Pupils in special national schools","Number","268"
"Pupils in National Schools","1997","Limerick County","All first level school programmes","Number","14606"
"Pupils in National Schools","1997","Limerick County","All mainstream national school programmes","Number","14314"
"Pupils in National Schools","1997","Limerick County","Pupils with special needs in mainstream national schools","Number","166"
"Pupils in National Schools","1997","Limerick County","Pupils in special national schools","Number","126"
"Pupils in National Schools","1997","Tipperary","All first level school programmes","Number","18066"
"Pupils in National Schools","1997","Tipperary","All mainstream national school programmes","Number","17491"
"Pupils in National Schools","1997","Tipperary","Pupils with special needs in mainstream national schools","Number","287"
"Pupils in National Schools","1997","Tipperary","Pupils in special national schools","Number","288"
"Pupils in National Schools","1997","Waterford","All first level school programmes","Number",""
"Pupils in National Schools","1997","Waterford","All mainstream national school programmes","Number",""
"Pupils in National Schools","1997","Waterford","Pupils with special needs in mainstream national schools","Number",""
"Pupils in National Schools","1997","Waterford","Pupils in special national schools","Number",""
"Pupils in National Schools","1997","Waterford City","All first level school programmes","Number","5939"
"Pupils in National Schools","1997","Waterford City","All mainstream national school programmes","Number","5631"
"Pupils in National Schools","1997","Waterford City","Pupils with special needs in mainstream national schools","Number","65"
"Pupils in National Schools","1997","Waterford City","Pupils in special national schools","Number","243"
"Pupils in National Schools","1997","Waterford County","All first level school programmes","Number","6713"
"Pupils in National Schools","1997","Waterford County","All mainstream national school programmes","Number","6642"
"Pupils in National Schools","1997","Waterford County","Pupils with special needs in mainstream national schools","Number","17"
"Pupils in National Schools","1997","Waterford County","Pupils in special national schools","Number","54"
"Pupils in National Schools","1997","Galway City","All first level school programmes","Number","6795"
"Pupils in National Schools","1997","Galway City","All mainstream national school programmes","Number","6392"
"Pupils in National Schools","1997","Galway City","Pupils with special needs in mainstream national schools","Number","220"
"Pupils in National Schools","1997","Galway City","Pupils in special national schools","Number","183"
"Pupils in National Schools","1997","Galway County","All first level school programmes","Number","18070"
"Pupils in National Schools","1997","Galway County","All mainstream national school programmes","Number","17747"
"Pupils in National Schools","1997","Galway County","Pupils with special needs in mainstream national schools","Number","323"
"Pupils in National Schools","1997","Galway County","Pupils in special national schools","Number",""
"Pupils in National Schools","1997","Leitrim","All first level school programmes","Number","3279"
"Pupils in National Schools","1997","Leitrim","All mainstream national school programmes","Number","3262"
"Pupils in National Schools","1997","Leitrim","Pupils with special needs in mainstream national schools","Number","17"
"Pupils in National Schools","1997","Leitrim","Pupils in special national schools","Number","0"
"Pupils in National Schools","1997","Mayo","All first level school programmes","Number","15680"
"Pupils in National Schools","1997","Mayo","All mainstream national school programmes","Number","15393"
"Pupils in National Schools","1997","Mayo","Pupils with special needs in mainstream national schools","Number","134"
"Pupils in National Schools","1997","Mayo","Pupils in special national schools","Number","153"
"Pupils in National Schools","1997","Roscommon","All first level school programmes","Number","6782"
"Pupils in National Schools","1997","Roscommon","All mainstream national school programmes","Number","6702"
"Pupils in National Schools","1997","Roscommon","Pupils with special needs in mainstream national schools","Number","49"
